nom_clinique;docteur;telephone;email;site_web;adresse;code_postal;ville;categories;siret
Centre de Chirurgie Esthetique de Strasbourg SCM;;03 88 35 16 09;;http://centre-chirurgie-esthetique-strasbourg.com/;14 r Boussingault, 67000 Strasbourg;67000;Strasbourg;;
Clinique des Champs Elysées Strasbourg - Médecine esthétique;;03 67 18 23 62;contact.strasbourg@crpce.com;https://www.crpce.com/clinique-esthetique-strasbourg?utm_source=gmb&utm_medium=organic&utm_campaign=local_listing;33 r Hallebardes, 67000 Strasbourg;67000;Strasbourg;;
Docteur Eloi Ramelli;;03 67 34 66 46;;https://www.eloi-ramelli-chirurgie-esthetique.com/;31 Rue Geiler, 67000 Strasbourg;67000;Strasbourg;;
Unité De Chirurgie Vasculaire;;03 88 37 17 87;dr.leininger@parodonte.fr;http://www.dr-leininger-matthieu.chirurgiens-dentistes.fr;10 r François Epailly, 67000 Strasbourg;67000;Strasbourg;;
Cabinet Toulon Sourire;;04 94 71 60 27;;http://toulon-sourire.com;pl Huile, 83000 Toulon;83000;Toulon;;
Chirurgiens Dentistes Carpentier Selarl;;04 94 92 22 67;;http://dr-carpentier-laurent.chirurgiens-dentistes.fr;50 Boulevard de Strasbourg, 83000 Toulon;83000;Toulon;;
Docteur Gensollen Luneau;;09 63 20 69 69;cabinetluneau@gmail.com;http://selarl-du-dr-gensollen-luneau.chirurgiens-dentistes.fr;2 r Emile Zola, 83000 Toulon;83000;Toulon;;
L'Esthétique;;04 94 24 50 32;lesthetique@wanadoo.fr;;253 av 15ème Corps, 83200 Toulon;83200;Toulon;;
Centre Esthétique et Laser Gramont;;05 61 83 10 19;contact@drpuech-esthetique.fr;https://www.centrelaser-gramont.fr/;92 Chemin de Gabardie, 31200 Toulouse;31200;Toulouse;;
Centre Laser Wilson;;05 61 21 30 20;;http://www.toulouselaser.com;7 pl Prés Wilson, 31000 Toulouse;31000;Toulouse;;
Centre Mèdical Esthétique et Laser des Minimes;;06 63 16 34 21;;https://www.orl-esthetique-borderouge.com/;50 av Maurice Bourges Maunoury, 31200 Toulouse;31200;Toulouse;;
Centre de chirurgie plastique & esthétique CCPE;;05 61 53 80 80;;http://chirurgie-esthetique-plastique-toulouse.fr;54 all Demoiselles, 31400 Toulouse;31400;Toulouse;;
Clinique Saint-Aubin;;05 34 41 87 87;contact@cliniquesaintaubin.com;;9 imp St Aubin, 31000 Toulouse;31000;Toulouse;;
Clinique des Champs Elysées Toulouse;;05 32 65 96 50;contact.toulouse@crpce.com;https://www.crpce.com/clinique-esthetique-toulouse?utm_source=gmb&utm_medium=organic&utm_campaign=local_listing;3 r Paul Meriel, 31000 Toulouse;31000;Toulouse;;
Francaise Chirurgiens Esthetiques SOC;;05 34 31 01 34;;http://vous-et-nous.com;12 Grande Rue de Nazareth, 31000 Toulouse;31000;Toulouse;;
Chirurgie Plastique Docteurs Faugon Ricci SCM;;02 47 05 38 46;;http://esthetiquetours.com;2 all Manoir, 37000 Tours;37000;Tours;;
Clinique des Champs Elysées Tours - Médecine esthétique;;02 46 99 06 40;contact.tours@crpce.com;https://www.crpce.com/clinique-esthetique-tours?utm_source=gmb&utm_medium=organic&utm_campaign=local_listing;78 jard François 1er, 37000 Tours;37000;Tours;;
Cabinet Dentaire Versaillais;;01 39 50 46 43;;;52 av Paris, 78000 Versailles;78000;Versailles;;
Clinique Porte Verte;;01 39 63 74 00;;;6 Avenue du Maréchal Franchet d'Esperey, 78000 Versailles;78000;Versailles;;
Docteur Jean-Marc BENCHIMOL;;01 30 21 43 51;jeanmarcb7@aol.com;https://www.jmbenchimol.com/;37 av St Cloud, 78000 Versailles;78000;Versailles;;
Plein Soleil LM Esthetique;;01 39 50 24 25;pleinsoleilversailles@outlook.fr;http://outlook.fr;44 r Mar Foch, 78000 Versailles;78000;Versailles;;
Cabinet de Chirurgie Dentaire des Gratte Ciel;;04 78 84 71 63;;;102 Rue Anatole France, 69100 Villeurbanne;69100;Villeurbanne;;
Centre Esthétique Lyon Est Celest;;04 28 87 00 38;;https://celest-lyon.com/;171 r Léon Blum, 69100 Villeurbanne;69100;Villeurbanne;;
Renaissance Clinique;;06 20 86 78 43;contact@renaissanceclinique.fr;https://renaissanceclinique.fr/;259 crs Emile Zola, 69100 Villeurbanne;69100;Villeurbanne;;
